Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Ordinary Dividend Reinvestment Increase,13.43,10.91,1.231,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Ordinary Dividend Reinvestment Increase,7.92,10.91,0.726,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Ordinary Dividend Reinvestment Increase,9.62,10.91,0.882,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Long Term Capital Gain Reinvestment,26.47,10.91,2.426,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Long Term Capital Gain Reinvestment,15.60,10.91,1.430,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Long Term Capital Gain Reinvestment,18.97,10.91,1.739,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Short Term Capital Gain Reinvestment,3.50,10.91,0.321,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Short Term Capital Gain Reinvestment,2.07,10.91,0.190,
12/11/2013,DFA Five-Year Global Fixed Income,DFGBX,Short Term Capital Gain Reinvestment,2.51,10.91,0.230,
12/06/2013,DFA Five-Year Global Fixed Income,DFGBX,Earnings Allocation,0.02,11.12,0.002,
12/06/2013,DFA Five-Year Global Fixed Income,DFGBX,Earnings Allocation,0.01,11.12,0.001,
12/06/2013,DFA Five-Year Global Fixed Income,DFGBX,Earnings Allocation,0.02,11.12,0.002,
10/28/2013,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,2168.08,11.14,194.621,
10/28/2013,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,1278.15,11.14,114.735,
10/28/2013,DFA Five-Year Global Fixed Income,DFGBX,Exchange Purchase,1553.77,11.14,139.477,
12/11/2013,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,76.58,12.35,6.201,
12/11/2013,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,38.41,12.35,3.110,
12/11/2013,DFA Intermediate Government Fixed Income,DFIGX,Ordinary Dividend Reinvestment Increase,47.50,12.35,3.846,
